season,team,portal_talent_in,portal_talent_out,portal_net_rating,portal_count_in,portal_count_out,portal_net_count,portal_stars_in_avg,portal_qb_in,portal_qb_out
2022,Alcorn State,161.0,0.0,161.0,4.0,0.0,4.0,2.25,1.0,0.0
2022,App State,248.0,168.0,80.0,9.0,10.0,-1.0,2.0,1.0,1.0
2022,Arizona,608.0,574.0,34.0,8.0,27.0,-19.0,3.125,1.0,1.0
2022,Arizona State,1124.0,1215.0,-91.0,13.0,21.0,-8.0,3.076923076923077,1.0,1.0
2022,Arkansas,714.0,680.0,34.0,9.0,22.0,-13.0,3.5555555555555554,1.0,1.0
2022,Arkansas State,414.0,896.0,-482.0,11.0,25.0,-14.0,2.8181818181818183,1.0,1.0
2022,Army,0.0,157.0,-157.0,0.0,6.0,-6.0,0.0,0.0,1.0
2022,Ashland,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
2022,Auburn,783.0,1828.0,-1045.0,11.0,24.0,-13.0,2.727272727272727,1.0,1.0
2022,Austin Peay,0.0,86.0,-86.0,1.0,2.0,-1.0,3.0,0.0,0.0
2022,BYU,353.0,158.0,195.0,4.0,10.0,-6.0,3.25,0.0,1.0
2022,Ball State,167.0,0.0,167.0,5.0,10.0,-5.0,2.2,0.0,0.0
2022,Baylor,180.0,263.0,-83.0,3.0,8.0,-5.0,3.0,1.0,1.0
2022,Bethune-Cookman,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
2022,Blinn College,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2022,Boise State,262.0,169.0,93.0,3.0,6.0,-3.0,3.0,1.0,1.0
2022,Boston College,170.0,327.0,-157.0,4.0,13.0,-9.0,2.25,0.0,0.0
