game_id,season,week,team,conference,opponent,off_epa,off_epa_pass,off_epa_rush,def_epa,def_epa_pass,def_epa_rush
401532575,2023,2,Hawai'i,Mountain West,UAlbany,0.07,0.15,0.07,-0.18,-0.22,-0.05
401525831,2023,2,Houston,Big 12,Rice,0.14,0.0,0.51,0.38,0.64,0.13
401520195,2023,2,Illinois,Big Ten,Kansas,0.25,0.14,0.75,0.37,0.6,0.32
401520193,2023,2,Indiana,Big Ten,Indiana State,0.34,0.46,0.23,-0.27,-0.41,-0.09
401520194,2023,2,Iowa,Big Ten,Iowa State,0.07,0.23,-0.05,-0.07,0.05,-0.23
401520194,2023,2,Iowa State,Big 12,Iowa,-0.07,0.05,-0.23,0.07,0.23,-0.05
401520187,2023,2,Jacksonville State,Conference USA,Coastal Carolina,0.07,0.0,0.13,0.13,0.5,-0.15
401525498,2023,2,James Madison,Sun Belt,Virginia,0.38,0.54,0.21,0.43,0.98,0.07
401520195,2023,2,Kansas,Big 12,Illinois,0.37,0.6,0.32,0.25,0.14,0.75
401525829,2023,2,Kansas State,Big 12,Troy,0.22,0.51,0.08,0.04,0.17,-0.14
401520184,2023,2,Kent State,Mid-American,Arkansas,-0.25,-0.37,-0.15,0.31,0.27,0.33
401520196,2023,2,Kentucky,SEC,Eastern Kentucky,0.26,0.4,0.15,0.06,0.29,-0.06
401520198,2023,2,Liberty,Conference USA,New Mexico State,0.33,0.72,0.13,0.18,0.13,0.5
401531842,2023,2,Louisiana,Sun Belt,Old Dominion,0.28,0.45,0.12,0.28,0.48,0.14
401520197,2023,2,Louisiana Tech,Conference USA,Northwestern State,0.24,-0.04,0.41,-0.07,-0.38,0.18
401525469,2023,2,Louisville,ACC,Murray State,0.53,0.73,0.53,-0.16,-0.17,-0.17
401520199,2023,2,LSU,SEC,Grambling,0.57,0.61,0.53,0.17,0.06,0.43
401531411,2023,2,Marshall,Sun Belt,East Carolina,0.28,0.54,0.06,-0.06,0.0,-0.07
401520200,2023,2,Maryland,Big Ten,Charlotte,0.3,0.23,0.52,0.08,0.32,0.04
401526833,2023,2,Massachusetts,FBS Independents,Miami (OH),-0.1,0.23,-0.37,0.25,0.53,0.09
401531427,2023,2,Memphis,American Athletic,Arkansas State,0.24,0.47,0.05,-0.31,-0.25,-0.3
401520201,2023,2,Miami,ACC,Texas A&M,0.48,0.97,-0.19,0.2,0.26,0.09
401526833,2023,2,Miami (OH),Mid-American,Massachusetts,0.25,0.53,0.09,-0.1,0.23,-0.37
401520202,2023,2,Michigan,Big Ten,UNLV,0.35,0.96,-0.04,-0.11,0.07,-0.32
401520203,2023,2,Michigan State,Big Ten,Richmond,0.29,1.05,-0.18,-0.03,-0.07,0.04
401520206,2023,2,Middle Tennessee,Conference USA,Missouri,0.14,0.29,-0.09,0.12,0.41,0.02
401520204,2023,2,Minnesota,Big Ten,Eastern Michigan,0.07,0.38,0.11,-0.07,-0.25,0.15
401520205,2023,2,Mississippi State,SEC,Arizona,0.04,0.33,-0.07,0.14,0.54,-0.26
401520206,2023,2,Missouri,SEC,Middle Tennessee,0.12,0.41,0.02,0.14,0.29,-0.09
401531432,2023,2,Navy,American Athletic,Wagner,0.23,0.13,0.28,-0.14,0.12,-0.35
401525436,2023,2,NC State,ACC,Notre Dame,0.07,0.1,0.03,0.39,0.53,0.27
401520188,2023,2,Nebraska,Big Ten,Colorado,0.09,0.19,0.03,0.23,0.31,0.08
401532576,2023,2,Nevada,Mountain West,Idaho,-0.06,-0.09,0.17,0.33,0.66,0.13
401532577,2023,2,New Mexico,Mountain West,Tennessee Tech,0.66,1.26,0.45,-0.06,0.11,-0.26
401520198,2023,2,New Mexico State,Conference USA,Liberty,0.18,0.13,0.5,0.33,0.72,0.13
401525495,2023,2,North Carolina,ACC,App State,0.41,0.16,0.64,0.3,0.47,0.24
401532397,2023,2,Northern Illinois,Mid-American,Southern Illinois,0.14,0.42,-0.07,0.03,-0.11,0.24
401520189,2023,2,North Texas,American Athletic,Florida International,0.07,-0.13,0.27,0.34,0.64,0.27
401520207,2023,2,Northwestern,Big Ten,UTEP,0.36,0.55,0.24,0.09,0.39,-0.12
401525436,2023,2,Notre Dame,FBS Independents,NC State,0.39,0.53,0.27,0.07,0.1,0.03
401531419,2023,2,Ohio,Mid-American,Florida Atlantic,0.0,0.0,0.02,-0.14,-0.02,-0.26
401520208,2023,2,Ohio State,Big Ten,Youngstown State,0.48,0.62,0.29,0.07,0.28,0.0
401525830,2023,2,Oklahoma,Big 12,SMU,0.33,1.33,-0.08,0.0,0.24,-0.17
401523998,2023,2,Oklahoma State,Big 12,Arizona State,0.11,0.12,0.11,0.14,0.14,0.18
401531842,2023,2,Old Dominion,Sun Belt,Louisiana,0.28,0.48,0.14,0.28,0.45,0.12
401520214,2023,2,Ole Miss,SEC,Tulane,0.25,0.49,0.04,-0.05,0.09,-0.16
401524002,2023,2,Oregon,Pac-12,Texas Tech,0.27,0.37,0.13,0.09,0.07,0.41
401524000,2023,2,Oregon State,Pac-12,UC Davis,0.4,0.45,0.37,-0.26,-0.1,-0.06
401520209,2023,2,Penn State,Big Ten,Delaware,0.38,0.39,0.38,-0.31,-0.6,-0.01
401525496,2023,2,Pittsburgh,ACC,Cincinnati,-0.06,-0.09,-0.01,0.21,0.3,0.15
401520215,2023,2,Purdue,Big Ten,Virginia Tech,0.18,0.3,0.08,0.01,0.3,-0.52
401525831,2023,2,Rice,American Athletic,Houston,0.38,0.64,0.13,0.14,0.0,0.51
401520210,2023,2,Rutgers,Big Ten,Temple,0.23,0.43,0.14,0.04,0.12,-0.02
401520211,2023,2,Sam Houston,Conference USA,Air Force,-0.17,-0.45,0.02,0.02,-0.13,0.03
401524001,2023,2,San Diego State,Mountain West,UCLA,-0.06,0.15,-0.03,0.43,0.6,0.3
401532578,2023,2,San José State,Mountain West,Cal Poly,0.45,0.48,0.43,-0.38,-0.38,-0.16
401525830,2023,2,SMU,American Athletic,Oklahoma,0.0,0.24,-0.17,0.33,1.33,-0.08
401531844,2023,2,South Alabama,Sun Belt,SE Louisiana,0.63,0.62,0.67,0.2,0.52,-0.18
401520212,2023,2,South Carolina,SEC,Furman,0.61,1.15,0.07,0.13,0.22,0.08
401525493,2023,2,Southern Miss,Sun Belt,Florida State,-0.08,-0.21,0.12,0.44,0.25,0.62
401531422,2023,2,South Florida,American Athletic,Florida A&M,0.03,0.03,0.02,0.12,0.4,-0.22
401524003,2023,2,Stanford,Pac-12,USC,-0.12,-0.1,0.03,0.52,0.65,0.34
401525497,2023,2,Syracuse,ACC,Western Michigan,0.3,0.43,0.18,-0.13,-0.19,0.08
401525832,2023,2,TCU,Big 12,Nicholls,0.19,0.89,-0.27,-0.44,-0.32,-0.11
401520210,2023,2,Temple,American Athletic,Rutgers,0.04,0.12,-0.02,0.23,0.43,0.14
