game_id,season,week,team,opponent,off_epa,off_epa_pass,off_epa_rush,def_epa,def_epa_pass,def_epa_rush
401866418,2026,2,Jacksonville State,Ohio,0.27,0.81,-0.04,0.1,0.07,0.12
401867929,2026,2,James Madison,Wagner,0.64,0.58,0.73,-0.52,-0.16,-0.29
401856678,2026,2,Kansas,Missouri,-0.13,-0.09,-0.26,0.13,0.73,-0.06
401856781,2026,2,Kansas State,Washington State,0.13,-0.09,0.35,-0.28,-0.27,-0.28
401869955,2026,2,Kennesaw State,Georgia State,0.02,0.15,0.03,0.26,0.63,0.11
401866416,2026,2,Kent State,Wofford,0.13,0.28,0.19,-0.42,-0.44,-0.05
401856674,2026,2,Kentucky,Alabama,-0.34,-0.19,-0.52,0.13,0.13,0.24
401868187,2026,2,Liberty,Gardner-Webb,-0.21,-0.01,-0.25,-0.14,-0.15,0.0
401858445,2026,2,Louisiana,USC,0.31,0.76,0.25,0.34,0.68,0.18
401867796,2026,2,Louisiana Tech,LSU,-0.61,-0.53,-0.69,0.02,0.03,-0.04
401858215,2026,2,Louisville,Villanova,0.63,1.02,0.36,-0.01,0.13,-0.21
401867796,2026,2,LSU,Louisiana Tech,0.02,0.03,-0.04,-0.61,-0.53,-0.69
401871045,2026,2,Marshall,Middle Tennessee,0.1,0.4,-0.09,0.17,0.2,0.04
401858444,2026,2,Maryland,UConn,0.24,0.44,0.05,-0.09,0.04,-0.21
401866420,2026,2,Massachusetts,Sacred Heart,0.44,0.56,0.38,-0.15,-0.04,-0.08
401860881,2026,2,Memphis,Boise State,0.01,0.48,-0.08,0.46,0.25,0.51
401858213,2026,2,Miami,Florida A&M,0.63,1.25,0.25,-0.21,-0.22,-0.19
401866417,2026,2,Miami (OH),Holy Cross,0.49,1.35,0.18,-0.23,0.0,-0.17
401856679,2026,2,Michigan,Oklahoma,0.03,-0.02,0.06,-0.14,-0.16,-0.1
401858440,2026,2,Michigan State,Eastern Michigan,0.3,0.23,0.36,0.04,-0.18,0.25
401871045,2026,2,Middle Tennessee,Marshall,0.17,0.2,0.04,0.1,0.4,-0.09
401856677,2026,2,Minnesota,Mississippi State,-0.12,-0.02,-0.19,0.44,0.61,0.37
401856677,2026,2,Mississippi State,Minnesota,0.44,0.61,0.37,-0.12,-0.02,-0.19
401856678,2026,2,Missouri,Kansas,0.13,0.73,-0.06,-0.13,-0.09,-0.26
401871046,2026,2,Missouri State,Lindenwood,0.32,0.65,0.22,-0.06,0.13,-0.12
401862703,2026,2,Navy,Florida Atlantic,0.1,-0.17,0.28,0.2,0.59,-0.06
401858222,2026,2,NC State,Richmond,0.76,0.77,0.75,-0.38,-0.24,-0.67
401858441,2026,2,Nebraska,Bowling Green,0.59,0.67,0.59,0.04,-0.04,0.06
401864500,2026,2,Nevada,Montana State,-0.18,-0.19,0.0,0.14,0.38,0.04
401865252,2026,2,New Mexico,Mercyhurst,0.25,0.13,0.3,-0.4,-0.4,-0.26
401864578,2026,2,New Mexico State,Hawai'i,-0.01,-0.09,0.09,0.13,0.35,-0.23
401858218,2026,2,North Carolina,East Tennessee State,0.5,0.52,0.42,-0.17,-0.11,-0.16
401864502,2026,2,North Dakota State,Air Force,0.11,0.27,0.04,0.22,0.65,0.11
401864503,2026,2,Northern Illinois,Illinois State,-0.08,0.01,-0.01,-0.03,0.05,0.04
401862705,2026,2,North Texas,UNLV,0.35,0.52,0.19,-0.24,0.2,-0.48
401859184,2026,2,Notre Dame,Rice,0.43,0.7,0.14,-0.32,0.19,-0.61
401866418,2026,2,Ohio,Jacksonville State,0.1,0.07,0.12,0.27,0.81,-0.04
401856682,2026,2,Ohio State,Texas,0.12,0.41,-0.16,0.06,0.12,0.0
401856679,2026,2,Oklahoma,Michigan,-0.14,-0.16,-0.1,0.03,-0.02,0.06
401856782,2026,2,Oklahoma State,Oregon,-0.04,-0.26,0.21,-0.08,-0.09,-0.14
401858221,2026,2,Old Dominion,Virginia Tech,0.03,0.16,-0.08,0.21,0.39,0.01
401856676,2026,2,Ole Miss,Charlotte,0.34,0.46,0.5,-0.02,0.02,-0.05
401856782,2026,2,Oregon,Oklahoma State,-0.08,-0.09,-0.14,-0.04,-0.26,0.21
401856783,2026,2,Oregon State,Texas Tech,0.17,0.25,-0.1,0.2,0.35,0.11
401858442,2026,2,Penn State,Temple,0.21,0.49,-0.05,0.09,-0.4,0.39
401856790,2026,2,Pittsburgh,UCF,-0.04,0.25,-0.23,-0.25,-0.09,-0.4
401858224,2026,2,Purdue,Wake Forest,0.29,0.41,0.12,0.36,0.5,0.2
401859184,2026,2,Rice,Notre Dame,-0.32,0.19,-0.61,0.43,0.7,0.14
401858214,2026,2,Rutgers,Boston College,-0.08,0.4,-0.11,-0.02,0.26,0.0
401860883,2026,2,Sacramento State,Fresno State,-0.19,-0.42,0.04,0.39,0.78,0.16
401862707,2026,2,Sam Houston,Tulsa,0.07,0.24,-0.1,0.01,-0.41,0.45
401858443,2026,2,San Diego State,UCLA,-0.23,-0.6,-0.03,0.1,-0.16,0.26
