season,team,conference,fpi,resumeranks,efficiencies
2026,Northern Illinois,Mountain West,-14.51,"{'strengthOfRecord': 0, 'fpi': 128, 'averageWinProbability': 0, 'strengthOfSchedule': 87, 'remainingStrengthOfSchedule': 85, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Purdue,Big Ten,-1.59,"{'strengthOfRecord': 19, 'fpi': 74, 'averageWinProbability': 15, 'strengthOfSchedule': 23, 'remainingStrengthOfSchedule': 21, 'gameControl': 26}","{'overall': 50.105, 'offense': 50.084, 'defense': 50.895, 'specialTeams': 48.843}"
2026,Sam Houston,Conference USA,-18.422,"{'strengthOfRecord': 0, 'fpi': 135, 'averageWinProbability': 0, 'strengthOfSchedule': 92, 'remainingStrengthOfSchedule': 92, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Southern Miss,Sun Belt,-5.053,"{'strengthOfRecord': 0, 'fpi': 87, 'averageWinProbability': 0, 'strengthOfSchedule': 100, 'remainingStrengthOfSchedule': 98, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,South Carolina,SEC,11.692,"{'strengthOfRecord': 0, 'fpi': 22, 'averageWinProbability': 0, 'strengthOfSchedule': 9, 'remainingStrengthOfSchedule': 10, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Missouri State,Conference USA,-10.255,"{'strengthOfRecord': 0, 'fpi': 110, 'averageWinProbability': 0, 'strengthOfSchedule': 80, 'remainingStrengthOfSchedule': 79, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,TCU,Big 12,4.857,"{'strengthOfRecord': 27, 'fpi': 43, 'averageWinProbability': 27, 'strengthOfSchedule': 46, 'remainingStrengthOfSchedule': 48, 'gameControl': 28}","{'overall': 62.36, 'offense': 31.784, 'defense': 76.049, 'specialTeams': 91.252}"
2026,Tennessee,SEC,15.058,"{'strengthOfRecord': 0, 'fpi': 16, 'averageWinProbability': 0, 'strengthOfSchedule': 13, 'remainingStrengthOfSchedule': 14, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,UTSA,American Athletic,-5.31,"{'strengthOfRecord': 0, 'fpi': 88, 'averageWinProbability': 0, 'strengthOfSchedule': 78, 'remainingStrengthOfSchedule': 77, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Toledo,Mid-American,-4.038,"{'strengthOfRecord': 27, 'fpi': 79, 'averageWinProbability': 31, 'strengthOfSchedule': 135, 'remainingStrengthOfSchedule': 137, 'gameControl': 32}","{'overall': 48.268, 'offense': 64.072, 'defense': 62.861, 'specialTeams': 4.88}"
2026,Troy,Sun Belt,-7.359,"{'strengthOfRecord': 0, 'fpi': 97, 'averageWinProbability': 0, 'strengthOfSchedule': 108, 'remainingStrengthOfSchedule': 106, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Tulane,American Athletic,2.251,"{'strengthOfRecord': 0, 'fpi': 57, 'averageWinProbability': 0, 'strengthOfSchedule': 98, 'remainingStrengthOfSchedule': 95, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,San José State,Mountain West,-10.202,"{'strengthOfRecord': 10, 'fpi': 109, 'averageWinProbability': 29, 'strengthOfSchedule': 96, 'remainingStrengthOfSchedule': 131, 'gameControl': 31}","{'overall': 53.61, 'offense': 41.686, 'defense': 60.277, 'specialTeams': 58.84}"
2026,Western Michigan,Mid-American,-4.037,"{'strengthOfRecord': 0, 'fpi': 78, 'averageWinProbability': 0, 'strengthOfSchedule': 101, 'remainingStrengthOfSchedule': 100, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,USC,Big Ten,17.465,"{'strengthOfRecord': 6, 'fpi': 13, 'averageWinProbability': 9, 'strengthOfSchedule': 19, 'remainingStrengthOfSchedule': 13, 'gameControl': 3}","{'overall': 86.424, 'offense': 86.015, 'defense': 70.589, 'specialTeams': 61.474}"
2026,Colorado State,Pac-12,-12.364,"{'strengthOfRecord': 0, 'fpi': 117, 'averageWinProbability': 0, 'strengthOfSchedule': 90, 'remainingStrengthOfSchedule': 90, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,UConn,FBS Independents,-11.163,"{'strengthOfRecord': 0, 'fpi': 113, 'averageWinProbability': 0, 'strengthOfSchedule': 109, 'remainingStrengthOfSchedule': 107, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Hawai'i,Mountain West,-4.66,"{'strengthOfRecord': 27, 'fpi': 85, 'averageWinProbability': 30, 'strengthOfSchedule': 114, 'remainingStrengthOfSchedule': 117, 'gameControl': 34}","{'overall': 47.341, 'offense': 42.457, 'defense': 49.689, 'specialTeams': 57.363}"
