year,team,conference,fpi,resumeRanks,efficiencies
2023,Arkansas,SEC,2.225,"{'strengthOfRecord': 81, 'fpi': 56, 'averageWinProbability': 90, 'strengthOfSchedule': 8, 'remainingStrengthOfSchedule': None, 'gameControl': 60}","{'overall': 47.846, 'offense': 34.458, 'defense': 61.741, 'specialTeams': 53.372}"
2023,Western Michigan,Mid-American,-13.543,"{'strengthOfRecord': 113, 'fpi': 116, 'averageWinProbability': 106, 'strengthOfSchedule': 111, 'remainingStrengthOfSchedule': None, 'gameControl': 113}","{'overall': 27.906, 'offense': 39.386, 'defense': 26.072, 'specialTeams': 43.04}"
2023,Ball State,Mid-American,-11.731,"{'strengthOfRecord': 118, 'fpi': 111, 'averageWinProbability': 110, 'strengthOfSchedule': 80, 'remainingStrengthOfSchedule': None, 'gameControl': 119}","{'overall': 27.865, 'offense': 24.814, 'defense': 43.874, 'specialTeams': 37.749}"
2023,Eastern Michigan,Mid-American,-14.689,"{'strengthOfRecord': 108, 'fpi': 122, 'averageWinProbability': 75, 'strengthOfSchedule': 132, 'remainingStrengthOfSchedule': None, 'gameControl': 115}","{'overall': 25.912, 'offense': 23.951, 'defense': 31.987, 'specialTeams': 65.656}"
2023,Central Michigan,Mid-American,-13.01,"{'strengthOfRecord': 104, 'fpi': 114, 'averageWinProbability': 113, 'strengthOfSchedule': 91, 'remainingStrengthOfSchedule': None, 'gameControl': 120}","{'overall': 26.496, 'offense': 36.193, 'defense': 25.262, 'specialTeams': 50.309}"
2023,Northern Illinois,Mid-American,-7.254,"{'strengthOfRecord': 105, 'fpi': 94, 'averageWinProbability': 79, 'strengthOfSchedule': 131, 'remainingStrengthOfSchedule': None, 'gameControl': 117}","{'overall': 36.439, 'offense': 35.852, 'defense': 43.598, 'specialTeams': 45.528}"
2023,UConn,FBS Independents,-15.874,"{'strengthOfRecord': 123, 'fpi': 126, 'averageWinProbability': 109, 'strengthOfSchedule': 93, 'remainingStrengthOfSchedule': None, 'gameControl': 111}","{'overall': 25.161, 'offense': 23.464, 'defense': 35.941, 'specialTeams': 48.435}"
2023,Oregon,Pac-12,25.043,"{'strengthOfRecord': 10, 'fpi': 4, 'averageWinProbability': 4, 'strengthOfSchedule': 52, 'remainingStrengthOfSchedule': None, 'gameControl': 5}","{'overall': 90.094, 'offense': 93.321, 'defense': 73.578, 'specialTeams': 35.343}"
2023,Washington,Pac-12,17.544,"{'strengthOfRecord': 1, 'fpi': 13, 'averageWinProbability': 6, 'strengthOfSchedule': 11, 'remainingStrengthOfSchedule': None, 'gameControl': 3}","{'overall': 82.666, 'offense': 86.101, 'defense': 64.802, 'specialTeams': 60.593}"
2023,Utah,Pac-12,10.768,"{'strengthOfRecord': 22, 'fpi': 25, 'averageWinProbability': 54, 'strengthOfSchedule': 30, 'remainingStrengthOfSchedule': None, 'gameControl': 31}","{'overall': 65.114, 'offense': 50.684, 'defense': 74.826, 'specialTeams': 48.257}"
2023,Colorado,Pac-12,-2.096,"{'strengthOfRecord': 77, 'fpi': 75, 'averageWinProbability': 115, 'strengthOfSchedule': 35, 'remainingStrengthOfSchedule': None, 'gameControl': 82}","{'overall': 44.305, 'offense': 50.524, 'defense': 38.852, 'specialTeams': 55.741}"
2023,BYU,Big 12,-1.805,"{'strengthOfRecord': 59, 'fpi': 73, 'averageWinProbability': 87, 'strengthOfSchedule': 29, 'remainingStrengthOfSchedule': None, 'gameControl': 53}","{'overall': 52.478, 'offense': 36.286, 'defense': 62.31, 'specialTeams': 60.603}"
2023,Cincinnati,Big 12,-1.067,"{'strengthOfRecord': 103, 'fpi': 70, 'averageWinProbability': 89, 'strengthOfSchedule': 70, 'remainingStrengthOfSchedule': None, 'gameControl': 74}","{'overall': 41.229, 'offense': 51.614, 'defense': 36.892, 'specialTeams': 37.774}"
2023,Houston,Big 12,-2.113,"{'strengthOfRecord': 82, 'fpi': 76, 'averageWinProbability': 108, 'strengthOfSchedule': 50, 'remainingStrengthOfSchedule': None, 'gameControl': 88}","{'overall': 42.491, 'offense': 51.077, 'defense': 36.881, 'specialTeams': 53.212}"
2023,UCF,Big 12,9.736,"{'strengthOfRecord': 52, 'fpi': 27, 'averageWinProbability': 45, 'strengthOfSchedule': 38, 'remainingStrengthOfSchedule': None, 'gameControl': 30}","{'overall': 69.854, 'offense': 75.965, 'defense': 58.387, 'specialTeams': 40.005}"
2023,Buffalo,Mid-American,-13.592,"{'strengthOfRecord': 129, 'fpi': 117, 'averageWinProbability': 120, 'strengthOfSchedule': 118, 'remainingStrengthOfSchedule': None, 'gameControl': 122}","{'overall': 20.865, 'offense': 16.698, 'defense': 40.189, 'specialTeams': 41.208}"
2023,Florida State,ACC,19.915,"{'strengthOfRecord': 3, 'fpi': 11, 'averageWinProbability': 15, 'strengthOfSchedule': 55, 'remainingStrengthOfSchedule': None, 'gameControl': 14}","{'overall': 83.68, 'offense': 70.051, 'defense': 84.429, 'specialTeams': 58.266}"
2023,Boston College,ACC,-5.102,"{'strengthOfRecord': 68, 'fpi': 86, 'averageWinProbability': 103, 'strengthOfSchedule': 79, 'remainingStrengthOfSchedule': None, 'gameControl': 98}","{'overall': 38.527, 'offense': 51.282, 'defense': 29.636, 'specialTeams': 49.017}"
2023,Clemson,ACC,13.892,"{'strengthOfRecord': 27, 'fpi': 19, 'averageWinProbability': 17, 'strengthOfSchedule': 51, 'remainingStrengthOfSchedule': None, 'gameControl': 13}","{'overall': 72.489, 'offense': 48.101, 'defense': 90.04, 'specialTeams': 37.087}"
2023,NC State,ACC,6.943,"{'strengthOfRecord': 21, 'fpi': 36, 'averageWinProbability': 18, 'strengthOfSchedule': 65, 'remainingStrengthOfSchedule': None, 'gameControl': 22}","{'overall': 65.952, 'offense': 47.142, 'defense': 75.741, 'specialTeams': 57.991}"
2023,Wake Forest,ACC,-1.563,"{'strengthOfRecord': 85, 'fpi': 72, 'averageWinProbability': 118, 'strengthOfSchedule': 46, 'remainingStrengthOfSchedule': None, 'gameControl': 91}","{'overall': 44.613, 'offense': 38.193, 'defense': 52.655, 'specialTeams': 52.027}"
2023,Virginia Tech,ACC,4.101,"{'strengthOfRecord': 66, 'fpi': 47, 'averageWinProbability': 69, 'strengthOfSchedule': 67, 'remainingStrengthOfSchedule': None, 'gameControl': 59}","{'overall': 56.537, 'offense': 58.805, 'defense': 47.917, 'specialTeams': 60.607}"
2023,Miami,ACC,11.169,"{'strengthOfRecord': 42, 'fpi': 24, 'averageWinProbability': 38, 'strengthOfSchedule': 56, 'remainingStrengthOfSchedule': None, 'gameControl': 33}","{'overall': 68.436, 'offense': 66.666, 'defense': 63.176, 'specialTeams': 51.762}"
2023,Georgia Tech,ACC,3.049,"{'strengthOfRecord': 48, 'fpi': 52, 'averageWinProbability': 77, 'strengthOfSchedule': 40, 'remainingStrengthOfSchedule': None, 'gameControl': 50}","{'overall': 55.267, 'offense': 64.55, 'defense': 43.236, 'specialTeams': 53.728}"
2023,North Carolina,ACC,10.237,"{'strengthOfRecord': 37, 'fpi': 26, 'averageWinProbability': 27, 'strengthOfSchedule': 77, 'remainingStrengthOfSchedule': None, 'gameControl': 27}","{'overall': 64.036, 'offense': 77.006, 'defense': 45.498, 'specialTeams': 43.228}"
2023,Virginia,ACC,-5.286,"{'strengthOfRecord': 96, 'fpi': 88, 'averageWinProbability': 95, 'strengthOfSchedule': 57, 'remainingStrengthOfSchedule': None, 'gameControl': 64}","{'overall': 44.701, 'offense': 44.034, 'defense': 50.919, 'specialTeams': 40.077}"
2023,Duke,ACC,8.778,"{'strengthOfRecord': 39, 'fpi': 32, 'averageWinProbability': 47, 'strengthOfSchedule': 49, 'remainingStrengthOfSchedule': None, 'gameControl': 37}","{'overall': 68.7, 'offense': 63.774, 'defense': 63.667, 'specialTeams': 60.347}"
2023,Bowling Green,Mid-American,-5.514,"{'strengthOfRecord': 72, 'fpi': 90, 'averageWinProbability': 53, 'strengthOfSchedule': 71, 'remainingStrengthOfSchedule': None, 'gameControl': 67}","{'overall': 48.351, 'offense': 34.963, 'defense': 57.125, 'specialTeams': 66.822}"
2023,Missouri,SEC,15.277,"{'strengthOfRecord': 9, 'fpi': 16, 'averageWinProbability': 13, 'strengthOfSchedule': 34, 'remainingStrengthOfSchedule': None, 'gameControl': 10}","{'overall': 78.168, 'offense': 79.322, 'defense': 67.958, 'specialTeams': 47.09}"
2023,Texas A&M,SEC,15.36,"{'strengthOfRecord': 33, 'fpi': 14, 'averageWinProbability': 22, 'strengthOfSchedule': 15, 'remainingStrengthOfSchedule': None, 'gameControl': 15}","{'overall': 75.057, 'offense': 65.814, 'defense': 76.34, 'specialTeams': 50.751}"
2023,Syracuse,ACC,2.396,"{'strengthOfRecord': 65, 'fpi': 55, 'averageWinProbability': 80, 'strengthOfSchedule': 62, 'remainingStrengthOfSchedule': None, 'gameControl': 69}","{'overall': 51.879, 'offense': 48.599, 'defense': 56.843, 'specialTeams': 40.583}"
2023,Pittsburgh,ACC,-0.369,"{'strengthOfRecord': 100, 'fpi': 66, 'averageWinProbability': 107, 'strengthOfSchedule': 47, 'remainingStrengthOfSchedule': None, 'gameControl': 81}","{'overall': 43.622, 'offense': 32.282, 'defense': 60.013, 'specialTeams': 38.896}"
2023,Utah State,Mountain West,-7.651,"{'strengthOfRecord': 93, 'fpi': 97, 'averageWinProbability': 100, 'strengthOfSchedule': 115, 'remainingStrengthOfSchedule': None, 'gameControl': 114}","{'overall': 35.921, 'offense': 48.054, 'defense': 32.714, 'specialTeams': 40.469}"
2023,Boise State,Mountain West,5.186,"{'strengthOfRecord': 61, 'fpi': 46, 'averageWinProbability': 34, 'strengthOfSchedule': 88, 'remainingStrengthOfSchedule': None, 'gameControl': 46}","{'overall': 62.644, 'offense': 69.244, 'defense': 54.981, 'specialTeams': 38.547}"
